Cust Key,Cust Name,Cust Address,Cust City,Cust State,Cust Zip Code,Cust County,Cust Region,Cust Since,Cust Type,Cust Gender,Cust Age,Age Group,Civil Status,Loyalty Program,AGE_GROUP,CIVIL_STATUS,CUST_ADDRESS,CUST_AGE,CUST_CITY,CUST_COUNTY,CUST_GENDER,CUST_KEY,CUST_NAME,CUST_REGION,CUST_SINCE,CUST_STATE,CUST_TYPE,CUST_ZIP_CODE,BIRTHDAY_MONTH,BIRTHDAY_DAY,DOWNLOADED_APP,LOYALTY_TIER,LOYALTY_PROGRAM,Updated At,Updated By
1442,Karen Rees,679 York Pass,Wichita,Kansas,67276,"Sedgwick County, Kansas",Midwest,2008-07-16 00:00:00,Individual,Female,48,36-55,Single,1,36-55,Single,679 York Pass,48.0,Wichita,"Sedgwick County, Kansas",Female,1442.0,Karen Rees,Midwest,2008-07-16,Kansas,Individual,67276,12.0,18.0,0.0,,1,,
1445,Alex Grey,133 Central Route,Houston,Texas,77201,"Harris County, Texas",Southwest,2010-03-12 00:00:00,Individual,Female,26,18-35,Widowed,0,18-35,Widowed,133 Central Route,26.0,Houston,"Harris County, Texas",Female,1445.0,Alex Grey,Southwest,2010-03-12,Texas,Individual,77201,,,,,0,,
1446,Nathan Robinson,658 Camdale Alley,Norfolk,Virginia,23501,"Norfolk (city) County, Virginia",East,2023-01-24 00:00:00,Individual,Male,46,36-55,Divorced,0,36-55,Divorced,658 Camdale Alley,46.0,Norfolk,"Norfolk (city) County, Virginia",Male,1446.0,Nathan Robinson,East,2023-01-24,Virginia,Individual,23501,,,,,0,,
1447,Hailey Potts,732 West Road,Decatur,Illinois,62521,"Macon County, Illinois",Midwest,2024-11-19 00:00:00,Individual,Female,49,36-55,Single,0,36-55,Single,732 West Road,49.0,Decatur,"Macon County, Illinois",Female,1447.0,Hailey Potts,Midwest,2024-11-19,Illinois,Individual,62521,,,,,0,,
1449,Evelynn Addley,704 Emily Rue,Compton,California,90220,"Los Angeles County, California",West,2011-03-13 00:00:00,Individual,Female,39,36-55,Divorced,1,36-55,Divorced,704 Emily Rue,39.0,Compton,"Los Angeles County, California",Female,1449.0,Evelynn Addley,West,2011-03-13,California,Individual,90220,1.0,24.0,1.0,,1,,
1451,Tom Carter,138 Hammersmith Way,Bellingham,Washington,98225,"Whatcom County, Washington",West,2013-11-25 00:00:00,Individual,Male,26,18-35,Single,0,18-35,Single,138 Hammersmith Way,26.0,Bellingham,"Whatcom County, Washington",Male,1451.0,Tom Carter,West,2013-11-25,Washington,Individual,98225,,,,,0,,
1453,Leilani Plant,891 Epworth Alley,Edinburg,Texas,78539,"Hidalgo County, Texas",Southwest,2014-06-28 00:00:00,Individual,Female,26,18-35,Divorced,0,18-35,Divorced,891 Epworth Alley,26.0,Edinburg,"Hidalgo County, Texas",Female,1453.0,Leilani Plant,Southwest,2014-06-28,Texas,Individual,78539,,,,,0,,
1456,Domenic Tate,518 Magnolia Lane,Cincinnati,Ohio,45225,"Hamilton County, Ohio",Midwest,2008-04-06 00:00:00,Individual,Male,22,18-35,Divorced,0,18-35,Divorced,518 Magnolia Lane,22.0,Cincinnati,"Hamilton County, Ohio",Male,1456.0,Domenic Tate,Midwest,2008-04-06,Ohio,Individual,45225,,,,,0,,
1457,Fred Yarlett,868 Clifton Drive,St. Paul,Minnesota,55109,"Ramsey County, Minnesota",Midwest,2015-02-27 00:00:00,Individual,Male,32,18-35,Single,0,18-35,Single,868 Clifton Drive,32.0,St. Paul,"Ramsey County, Minnesota",Male,1457.0,Fred Yarlett,Midwest,2015-02-27,Minnesota,Individual,55109,,,,,0,,
1459,Barry Mullins,759 Cardinal Crossroad,Houston,Texas,77201,"Harris County, Texas",Southwest,2020-07-25 00:00:00,Individual,Male,51,36-55,Single,1,36-55,Single,759 Cardinal Crossroad,51.0,Houston,"Harris County, Texas",Male,1459.0,Barry Mullins,Southwest,2020-07-25,Texas,Individual,77201,1.0,6.0,0.0,platinum_member,1,,
1461,Harriet Snow,878 Blean Route,Greenville,North Carolina,27833,"Pitt County, North Carolina",South,2008-02-02 00:00:00,Individual,Female,42,36-55,Married,1,36-55,Married,878 Blean Route,42.0,Greenville,"Pitt County, North Carolina",Female,1461.0,Harriet Snow,South,2008-02-02,North Carolina,Individual,27833,2.0,7.0,0.0,at_risk,1,,
1462,Macy Lynn,191 Kinglake Grove,Cincinnati,Ohio,45225,"Hamilton County, Ohio",Midwest,2007-08-22 00:00:00,Individual,Female,38,36-55,Divorced,0,36-55,Divorced,191 Kinglake Grove,38.0,Cincinnati,"Hamilton County, Ohio",Female,1462.0,Macy Lynn,Midwest,2007-08-22,Ohio,Individual,45225,,,,,0,,
1463,George Stubbs,899 Victoria Rise Grove,Folsom,California,95630,"Sacramento County, California",West,2023-09-27 00:00:00,Individual,Male,26,18-35,Single,1,18-35,Single,899 Victoria Rise Grove,26.0,Folsom,"Sacramento County, California",Male,1463.0,George Stubbs,West,2023-09-27,California,Individual,95630,7.0,16.0,1.0,at_risk,1,,
1465,Benjamin Mcgregor,583 Cephas Boulevard,Sioux Falls,South Dakota,57104,"Lincoln County, South Dakota",Midwest,2017-03-12 00:00:00,Individual,Male,44,36-55,Widowed,0,36-55,Widowed,583 Cephas Boulevard,44.0,Sioux Falls,"Lincoln County, South Dakota",Male,1465.0,Benjamin Mcgregor,Midwest,2017-03-12,South Dakota,Individual,57104,,,,,0,,
1468,Nick Mason,500 Ely Way,Bend,Oregon,97701,"Deschutes County, Oregon",West,2012-01-01 00:00:00,Individual,Male,24,18-35,Married,0,18-35,Married,500 Ely Way,24.0,Bend,"Deschutes County, Oregon",Male,1468.0,Nick Mason,West,2012-01-01,Oregon,Individual,97701,,,,,0,,
1469,Wade Pond,567 Norfolk Crossroad,Cranston,Rhode Island,02910,"Providence County, Rhode Island",East,2018-11-25 00:00:00,Individual,Male,21,18-35,Widowed,0,18-35,Widowed,567 Norfolk Crossroad,21.0,Cranston,"Providence County, Rhode Island",Male,1469.0,Wade Pond,East,2018-11-25,Rhode Island,Individual,02910,,,,,0,,
1471,Clint Kennedy,143 Queensberry Way,Tulsa,Oklahoma,74107,"Osage County, Oklahoma",Southwest,2015-04-18 00:00:00,Individual,Male,63,56+,Divorced,1,56+,Divorced,143 Queensberry Way,63.0,Tulsa,"Osage County, Oklahoma",Male,1471.0,Clint Kennedy,Southwest,2015-04-18,Oklahoma,Individual,74107,5.0,14.0,1.0,,1,,
1472,Willow Ventura,607 Biggerstaff Hill,Baltimore,Maryland,21202,"Baltimore city, Maryland",East,2020-10-24 00:00:00,Individual,Female,46,36-55,Divorced,0,36-55,Divorced,607 Biggerstaff Hill,46.0,Baltimore,"Baltimore city, Maryland",Female,1472.0,Willow Ventura,East,2020-10-24,Maryland,Individual,21202,,,,,0,,
1474,Benjamin Varndell,480 Ayres Pass,Jackson,Tennessee,38301,"Madison County, Tennessee",South,2015-12-11 00:00:00,Individual,Male,47,36-55,Divorced,0,36-55,Divorced,480 Ayres Pass,47.0,Jackson,"Madison County, Tennessee",Male,1474.0,Benjamin Varndell,South,2015-12-11,Tennessee,Individual,38301,,,,,0,,
1475,Wade Wills,798 Boleyn Crossroad,Greeley,Colorado,80631,"Weld County, Colorado",Southwest,2015-08-11 00:00:00,Individual,Male,45,36-55,Divorced,1,36-55,Divorced,798 Boleyn Crossroad,45.0,Greeley,"Weld County, Colorado",Male,1475.0,Wade Wills,Southwest,2015-08-11,Colorado,Individual,80631,5.0,18.0,0.0,platinum_member,1,,
1477,Madelyn Connell,390 Geffrye Drive,Costa Mesa,California,92628,"Orange County, California",West,2020-01-08 00:00:00,Individual,Female,43,36-55,Widowed,1,36-55,Widowed,390 Geffrye Drive,43.0,Costa Mesa,"Orange County, California",Female,1477.0,Madelyn Connell,West,2020-01-08,California,Individual,92628,9.0,24.0,0.0,platinum_member,1,,
1479,Logan King,669 Aspen Rue,Charlotte,North Carolina,28228,"Mecklenburg County, North Carolina",South,2014-04-11 00:00:00,Individual,Male,36,36-55,Divorced,1,36-55,Divorced,669 Aspen Rue,36.0,Charlotte,"Mecklenburg County, North Carolina",Male,1479.0,Logan King,South,2014-04-11,North Carolina,Individual,28228,7.0,4.0,0.0,platinum_member,1,,
1481,Josh Goodman,214 Longleigh Drive,Sioux Falls,South Dakota,57104,"Lincoln County, South Dakota",Midwest,2022-12-01 00:00:00,Individual,Male,35,18-35,Single,0,18-35,Single,214 Longleigh Drive,35.0,Sioux Falls,"Lincoln County, South Dakota",Male,1481.0,Josh Goodman,Midwest,2022-12-01,South Dakota,Individual,57104,,,,,0,,
1483,Zara Mann,68 Blackheath Vale,Bend,Oregon,97701,"Deschutes County, Oregon",West,2015-06-27 00:00:00,Individual,Female,50,36-55,Widowed,0,36-55,Widowed,68 Blackheath Vale,50.0,Bend,"Deschutes County, Oregon",Female,1483.0,Zara Mann,West,2015-06-27,Oregon,Individual,97701,,,,,0,,
1484,Abdul Umney,262 Longman Avenue,Vancouver,Washington,98668,"Clark County, Washington",West,2017-08-03 00:00:00,Individual,Male,51,36-55,Single,0,36-55,Single,262 Longman Avenue,51.0,Vancouver,"Clark County, Washington",Male,1484.0,Abdul Umney,West,2017-08-03,Washington,Individual,98668,,,,,0,,
1485,Gwenyth Hall,122 Chamberlain Street,Tempe,Arizona,85282,"Maricopa County, Arizona",Southwest,2013-10-03 00:00:00,Individual,Female,54,36-55,Married,1,36-55,Married,122 Chamberlain Street,54.0,Tempe,"Maricopa County, Arizona",Female,1485.0,Gwenyth Hall,Southwest,2013-10-03,Arizona,Individual,85282,7.0,28.0,0.0,,1,,
1487,Sebastian Saunders,167 Blomfield Walk,Corona,California,91718,"Riverside County, California",West,2020-12-28 00:00:00,Individual,Male,58,56+,Widowed,1,56+,Widowed,167 Blomfield Walk,58.0,Corona,"Riverside County, California",Male,1487.0,Sebastian Saunders,West,2020-12-28,California,Individual,91718,1.0,7.0,0.0,at_risk,1,,
1488,Lucas Veale,899 Chatfield Vale,Rio Rancho,New Mexico,87124,"Bernalillo County, New Mexico",Southwest,2009-04-26 00:00:00,Individual,Male,32,18-35,Divorced,0,18-35,Divorced,899 Chatfield Vale,32.0,Rio Rancho,"Bernalillo County, New Mexico",Male,1488.0,Lucas Veale,Southwest,2009-04-26,New Mexico,Individual,87124,,,,,0,,
1489,Vera Sanchez,253 St. Pauls Drive,San Angelo,Texas,76901,"Tom Green County, Texas",Southwest,2008-07-13 00:00:00,Individual,Female,28,18-35,Widowed,1,18-35,Widowed,253 St. Pauls Drive,28.0,San Angelo,"Tom Green County, Texas",Female,1489.0,Vera Sanchez,Southwest,2008-07-13,Texas,Individual,76901,4.0,2.0,1.0,platinum_member,1,,
1490,Henry Rossi,53 Eldon Pass,Manchester,New Hampshire,03103,"Hillsborough County, New Hampshire",East,2007-11-04 00:00:00,Individual,Male,48,36-55,Divorced,0,36-55,Divorced,53 Eldon Pass,48.0,Manchester,"Hillsborough County, New Hampshire",Male,1490.0,Henry Rossi,East,2007-11-04,New Hampshire,Individual,03103,,,,,0,,
1493,Domenic Durrant,26 Caedmon Street,Milwaukee,Wisconsin,53203,"Milwaukee County, Wisconsin",Midwest,2016-03-31 00:00:00,Individual,Male,42,36-55,Single,1,36-55,Single,26 Caedmon Street,42.0,Milwaukee,"Milwaukee County, Wisconsin",Male,1493.0,Domenic Durrant,Midwest,2016-03-31,Wisconsin,Individual,53203,3.0,19.0,0.0,,1,,
1495,Ellen Carter,52 Coborn Alley,Oklahoma City,Oklahoma,73125,"Oklahoma County, Oklahoma",Southwest,2021-11-09 00:00:00,Individual,Female,47,36-55,Single,0,36-55,Single,52 Coborn Alley,47.0,Oklahoma City,"Oklahoma County, Oklahoma",Female,1495.0,Ellen Carter,Southwest,2021-11-09,Oklahoma,Individual,73125,,,,,0,,
1499,Liam Russell,346 Blendon Way,Milwaukee,Wisconsin,53203,"Milwaukee County, Wisconsin",Midwest,2024-10-18 00:00:00,Individual,Male,38,36-55,Widowed,0,36-55,Widowed,346 Blendon Way,38.0,Milwaukee,"Milwaukee County, Wisconsin",Male,1499.0,Liam Russell,Midwest,2024-10-18,Wisconsin,Individual,53203,,,,,0,,
1501,Cedrick Hancock,90 Geffrye Grove,Menifee,California,92584,"Riverside County, California",West,2019-03-17 00:00:00,Individual,Male,67,56+,Divorced,1,56+,Divorced,90 Geffrye Grove,67.0,Menifee,"Riverside County, California",Male,1501.0,Cedrick Hancock,West,2019-03-17,California,Individual,92584,11.0,23.0,0.0,,1,,
1502,Jane Mason,496 Caroline Way,Pasadena,California,91103,"Los Angeles County, California",West,2008-01-03 00:00:00,Individual,Female,24,18-35,Single,0,18-35,Single,496 Caroline Way,24.0,Pasadena,"Los Angeles County, California",Female,1502.0,Jane Mason,West,2008-01-03,California,Individual,91103,,,,,0,,
1505,Leanne Kirby,432 Berry Tunnel,Omaha,Nebraska,68108,"Douglas County, Nebraska",Midwest,2019-04-15 00:00:00,Individual,Female,41,36-55,Single,1,36-55,Single,432 Berry Tunnel,41.0,Omaha,"Douglas County, Nebraska",Female,1505.0,Leanne Kirby,Midwest,2019-04-15,Nebraska,Individual,68108,7.0,8.0,1.0,at_risk,1,,
1507,Maria Adler,759 Abbey Crossroad,Sioux Falls,South Dakota,57104,"Lincoln County, South Dakota",Midwest,2007-09-30 00:00:00,Individual,Female,25,18-35,Divorced,1,18-35,Divorced,759 Abbey Crossroad,25.0,Sioux Falls,"Lincoln County, South Dakota",Female,1507.0,Maria Adler,Midwest,2007-09-30,South Dakota,Individual,57104,7.0,3.0,1.0,,1,,
1509,Chuck Faulkner,521 Sheffield Tunnel,Santa Maria,California,93454,"Santa Barbara County, California",West,2016-05-13 00:00:00,Individual,Male,64,56+,Widowed,1,56+,Widowed,521 Sheffield Tunnel,64.0,Santa Maria,"Santa Barbara County, California",Male,1509.0,Chuck Faulkner,West,2016-05-13,California,Individual,93454,3.0,13.0,0.0,at_risk,1,,
1511,Gil Emmott,269 Clissold Lane,Santa Fe,New Mexico,87500,"Santa Fe County, New Mexico",Southwest,2010-04-07 00:00:00,Individual,Male,43,36-55,Single,0,36-55,Single,269 Clissold Lane,43.0,Santa Fe,"Santa Fe County, New Mexico",Male,1511.0,Gil Emmott,Southwest,2010-04-07,New Mexico,Individual,87500,,,,,0,,
1513,Louise Mcgee,839 Duthie Avenue,Kirkland,Washington,98033,"King County, Washington",West,2008-03-27 00:00:00,Individual,Female,46,36-55,Single,0,36-55,Single,839 Duthie Avenue,46.0,Kirkland,"King County, Washington",Female,1513.0,Louise Mcgee,West,2008-03-27,Washington,Individual,98033,,,,,0,,
1514,Manuel Plumb,596 College Vale,Ann Arbor,Michigan,48104,"Washtenaw County, Michigan",Midwest,2014-09-25 00:00:00,Individual,Male,36,36-55,Married,1,36-55,Married,596 College Vale,36.0,Ann Arbor,"Washtenaw County, Michigan",Male,1514.0,Manuel Plumb,Midwest,2014-09-25,Michigan,Individual,48104,6.0,17.0,0.0,,1,,
1516,Manuel Woodley,261 Cedarne Rue,Springfield,Massachusetts,01101,"Hampden County, Massachusetts",East,2019-09-29 00:00:00,Individual,Male,24,18-35,Married,0,18-35,Married,261 Cedarne Rue,24.0,Springfield,"Hampden County, Massachusetts",Male,1516.0,Manuel Woodley,East,2019-09-29,Massachusetts,Individual,01101,,,,,0,,
1517,Ron Bailey,639 Addison Boulevard,Sioux Falls,South Dakota,57104,"Lincoln County, South Dakota",Midwest,2009-12-01 00:00:00,Individual,Male,29,18-35,Married,1,18-35,Married,639 Addison Boulevard,29.0,Sioux Falls,"Lincoln County, South Dakota",Male,1517.0,Ron Bailey,Midwest,2009-12-01,South Dakota,Individual,57104,10.0,31.0,1.0,,1,,
1519,Grace Power,607 Bermondsey Rue,Bellingham,Washington,98225,"Whatcom County, Washington",West,2013-04-24 00:00:00,Individual,Female,37,36-55,Married,0,36-55,Married,607 Bermondsey Rue,37.0,Bellingham,"Whatcom County, Washington",Female,1519.0,Grace Power,West,2013-04-24,Washington,Individual,98225,,,,,0,,
1520,Chuck Stewart,172 Marischal Hill,Avondale,Arizona,85323,"Maricopa County, Arizona",Southwest,2014-05-04 00:00:00,Individual,Male,50,36-55,Divorced,0,36-55,Divorced,172 Marischal Hill,50.0,Avondale,"Maricopa County, Arizona",Male,1520.0,Chuck Stewart,Southwest,2014-05-04,Arizona,Individual,85323,,,,,0,,
1521,Keira Rehman,542 Bethwin Hill,Antioch,California,94509,"Contra Costa County, California",West,2015-12-14 00:00:00,Individual,Female,68,56+,Married,1,56+,Married,542 Bethwin Hill,68.0,Antioch,"Contra Costa County, California",Female,1521.0,Keira Rehman,West,2015-12-14,California,Individual,94509,2.0,22.0,0.0,,1,,
1523,Erick Rixon,391 Chalcot Route,West Palm Beach,Florida,33401,"Palm Beach County, Florida",South,2016-08-15 00:00:00,Individual,Male,69,56+,Divorced,1,56+,Divorced,391 Chalcot Route,69.0,West Palm Beach,"Palm Beach County, Florida",Male,1523.0,Erick Rixon,South,2016-08-15,Florida,Individual,33401,2.0,3.0,0.0,platinum_member,1,,
1525,Cedrick Murphy,50 Camden Grove,Manchester,New Hampshire,03103,"Hillsborough County, New Hampshire",East,2020-11-14 00:00:00,Individual,Male,43,36-55,Single,1,36-55,Single,50 Camden Grove,43.0,Manchester,"Hillsborough County, New Hampshire",Male,1525.0,Cedrick Murphy,East,2020-11-14,New Hampshire,Individual,03103,4.0,10.0,1.0,platinum_member,1,,
1526,Owen Paterson,35 Chesterfield Rue,Milwaukee,Wisconsin,53203,"Milwaukee County, Wisconsin",Midwest,2019-04-15 00:00:00,Individual,Male,29,18-35,Single,0,18-35,Single,35 Chesterfield Rue,29.0,Milwaukee,"Milwaukee County, Wisconsin",Male,1526.0,Owen Paterson,Midwest,2019-04-15,Wisconsin,Individual,53203,,,,,0,,
1527,Lucas Brooks,883 Cliffords Drive,Stockton,California,95208,"San Joaquin County, California",West,2005-10-21 00:00:00,Individual,Male,53,36-55,Married,0,36-55,Married,883 Cliffords Drive,53.0,Stockton,"San Joaquin County, California",Male,1527.0,Lucas Brooks,West,2005-10-21,California,Individual,95208,,,,,0,,
1529,Gabriel Cox,472 Beaconsfield Hill,Sioux Falls,South Dakota,57104,"Lincoln County, South Dakota",Midwest,2015-09-10 00:00:00,Individual,Male,46,36-55,Single,0,36-55,Single,472 Beaconsfield Hill,46.0,Sioux Falls,"Lincoln County, South Dakota",Male,1529.0,Gabriel Cox,Midwest,2015-09-10,South Dakota,Individual,57104,,,,,0,,
1532,Caleb Torres,538 Bendall Alley,Lynchburg,Virginia,24501,"Lynchburg City, Virginia",East,2015-01-24 00:00:00,Individual,Male,25,18-35,Divorced,0,18-35,Divorced,538 Bendall Alley,25.0,Lynchburg,"Lynchburg City, Virginia",Male,1532.0,Caleb Torres,East,2015-01-24,Virginia,Individual,24501,,,,,0,,
1533,Julian Dale,957 Castlereagh Crossroad,Las Vegas,Nevada,89199,"Clark County, Nevada",West,2017-07-14 00:00:00,Individual,Male,58,56+,Divorced,1,56+,Divorced,957 Castlereagh Crossroad,58.0,Las Vegas,"Clark County, Nevada",Male,1533.0,Julian Dale,West,2017-07-14,Nevada,Individual,89199,3.0,8.0,1.0,platinum_member,1,,
1534,Rick Gates,405 Angel Hill,Lewisville,Texas,75029,"Dallas County, Texas",Southwest,2017-01-09 00:00:00,Individual,Male,45,36-55,Single,1,36-55,Single,405 Angel Hill,45.0,Lewisville,"Dallas County, Texas",Male,1534.0,Rick Gates,Southwest,2017-01-09,Texas,Individual,75029,1.0,29.0,0.0,,1,,
1535,Karla Parker,1 Rivervalley Lane,Corona,California,91718,"Riverside County, California",West,2017-03-14 00:00:00,Individual,Female,42,36-55,Divorced,1,36-55,Divorced,1 Rivervalley Lane,42.0,Corona,"Riverside County, California",Female,1535.0,Karla Parker,West,2017-03-14,California,Individual,91718,2.0,4.0,0.0,platinum_member,1,,
1537,Eve Edmonds,931 Cleveland Lane,Delray Beach,Florida,33444,"Palm Beach County, Florida",South,2013-05-18 00:00:00,Individual,Female,21,18-35,Married,0,18-35,Married,931 Cleveland Lane,21.0,Delray Beach,"Palm Beach County, Florida",Female,1537.0,Eve Edmonds,South,2013-05-18,Florida,Individual,33444,,,,,0,,
1538,Carl Thomas,536 Calverley Road,Carson,California,90745,"Los Angeles County, California",West,2016-11-16 00:00:00,Individual,Male,27,18-35,Single,0,18-35,Single,536 Calverley Road,27.0,Carson,"Los Angeles County, California",Male,1538.0,Carl Thomas,West,2016-11-16,California,Individual,90745,,,,,0,,
1540,Quinn Webster,935 Linden Hill,Cranston,Rhode Island,02910,"Providence County, Rhode Island",East,2006-12-07 00:00:00,Individual,Female,31,18-35,Married,0,18-35,Married,935 Linden Hill,31.0,Cranston,"Providence County, Rhode Island",Female,1540.0,Quinn Webster,East,2006-12-07,Rhode Island,Individual,02910,,,,,0,,
1541,Faith Raven,126 Baltic Rue,Las Vegas,Nevada,89199,"Clark County, Nevada",West,2011-10-05 00:00:00,Individual,Female,29,18-35,Single,1,18-35,Single,126 Baltic Rue,29.0,Las Vegas,"Clark County, Nevada",Female,1541.0,Faith Raven,West,2011-10-05,Nevada,Individual,89199,4.0,10.0,1.0,,1,,
1543,Bob Lynn,551 Gatonby Grove,Greeley,Colorado,80631,"Weld County, Colorado",Southwest,2015-01-19 00:00:00,Individual,Male,36,36-55,Divorced,0,36-55,Divorced,551 Gatonby Grove,36.0,Greeley,"Weld County, Colorado",Male,1543.0,Bob Lynn,Southwest,2015-01-19,Colorado,Individual,80631,,,,,0,,
1545,Nathan Nielson,85 Western Drive,Dearborn,Michigan,48120,"Wayne County, Michigan",Midwest,2015-02-22 00:00:00,Individual,Male,42,36-55,Married,1,36-55,Married,85 Western Drive,42.0,Dearborn,"Wayne County, Michigan",Male,1545.0,Nathan Nielson,Midwest,2015-02-22,Michigan,Individual,48120,12.0,30.0,0.0,at_risk,1,,
1549,Gabriel Olivier,283 Angela Walk,Lexington-Fayette,Kentucky,40511,"Fayette County, Kentucky",South,2022-12-09 00:00:00,Individual,Male,41,36-55,Widowed,1,36-55,Widowed,283 Angela Walk,41.0,Lexington-Fayette,"Fayette County, Kentucky",Male,1549.0,Gabriel Olivier,South,2022-12-09,Kentucky,Individual,40511,8.0,24.0,0.0,platinum_member,1,,
1551,Josh Crawford,898 Coborn Drive,Bloomington,Minnesota,55437,"Hennepin County, Minnesota",Midwest,2018-11-22 00:00:00,Individual,Male,46,36-55,Married,1,36-55,Married,898 Coborn Drive,46.0,Bloomington,"Hennepin County, Minnesota",Male,1551.0,Josh Crawford,Midwest,2018-11-22,Minnesota,Individual,55437,11.0,11.0,0.0,,1,,
1553,Alma Michael,675 Canning Alley,Jersey City,New Jersey,07302,"Hudson County, New Jersey",East,2014-01-28 00:00:00,Individual,Female,34,18-35,Single,1,18-35,Single,675 Canning Alley,34.0,Jersey City,"Hudson County, New Jersey",Female,1553.0,Alma Michael,East,2014-01-28,New Jersey,Individual,07302,8.0,2.0,0.0,platinum_member,1,,
1555,Danny Walker,650 Littlebury Route,Bloomington,Minnesota,55437,"Hennepin County, Minnesota",Midwest,2007-12-02 00:00:00,Individual,Male,37,36-55,Single,1,36-55,Single,650 Littlebury Route,37.0,Bloomington,"Hennepin County, Minnesota",Male,1555.0,Danny Walker,Midwest,2007-12-02,Minnesota,Individual,55437,7.0,21.0,1.0,,1,,
1556,Lillian Selby,48 Udall Alley,Delray Beach,Florida,33444,"Palm Beach County, Florida",South,2025-08-04 00:00:00,Individual,Female,33,18-35,Single,0,18-35,Single,48 Udall Alley,33.0,Delray Beach,"Palm Beach County, Florida",Female,1556.0,Lillian Selby,South,2025-08-04,Florida,Individual,33444,,,,,0,,
1559,Cameron Weston,68 Cockspur Boulevard,Aurora,Illinois,60505,"DuPage County, Illinois",Midwest,2016-08-27 00:00:00,Individual,Female,28,18-35,Single,0,18-35,Single,68 Cockspur Boulevard,28.0,Aurora,"DuPage County, Illinois",Female,1559.0,Cameron Weston,Midwest,2016-08-27,Illinois,Individual,60505,,,,,0,,
1561,Bryon Mills,437 Empress Way,Greeley,Colorado,80631,"Weld County, Colorado",Southwest,2024-09-18 00:00:00,Individual,Male,33,18-35,Married,1,18-35,Married,437 Empress Way,33.0,Greeley,"Weld County, Colorado",Male,1561.0,Bryon Mills,Southwest,2024-09-18,Colorado,Individual,80631,9.0,16.0,1.0,platinum_member,1,,
1567,Tom Little,805 Chamberlain Tunnel,Clovis,California,93611,"Fresno County, California",West,2011-10-21 00:00:00,Individual,Male,57,56+,Widowed,1,56+,Widowed,805 Chamberlain Tunnel,57.0,Clovis,"Fresno County, California",Male,1567.0,Tom Little,West,2011-10-21,California,Individual,93611,3.0,22.0,0.0,at_risk,1,,
1569,Julian Shepherd,102 Abourne Walk,Clovis,California,93611,"Fresno County, California",West,2023-04-22 00:00:00,Individual,Male,50,36-55,Widowed,1,36-55,Widowed,102 Abourne Walk,50.0,Clovis,"Fresno County, California",Male,1569.0,Julian Shepherd,West,2023-04-22,California,Individual,93611,5.0,6.0,1.0,platinum_member,1,,
1570,Cedrick Holmes,673 Emden Rue,Southfield,Michigan,48034,"Oakland County, Michigan",Midwest,2007-12-14 00:00:00,Individual,Male,52,36-55,Married,0,36-55,Married,673 Emden Rue,52.0,Southfield,"Oakland County, Michigan",Male,1570.0,Cedrick Holmes,Midwest,2007-12-14,Michigan,Individual,48034,,,,,0,,
1571,Julian Ward,469 Balfour Hill,Delray Beach,Florida,33444,"Palm Beach County, Florida",South,2018-04-06 00:00:00,Individual,Male,23,18-35,Single,0,18-35,Single,469 Balfour Hill,23.0,Delray Beach,"Palm Beach County, Florida",Male,1571.0,Julian Ward,South,2018-04-06,Florida,Individual,33444,,,,,0,,
1573,Luke Wade,602 Calshot Drive,Pasadena,California,91103,"Los Angeles County, California",West,2018-12-23 00:00:00,Individual,Male,54,36-55,Widowed,1,36-55,Widowed,602 Calshot Drive,54.0,Pasadena,"Los Angeles County, California",Male,1573.0,Luke Wade,West,2018-12-23,California,Individual,91103,11.0,3.0,1.0,at_risk,1,,
1575,Chris Denton,79 Clere Vale,Tempe,Arizona,85282,"Maricopa County, Arizona",Southwest,2015-03-26 00:00:00,Individual,Male,44,36-55,Married,0,36-55,Married,79 Clere Vale,44.0,Tempe,"Maricopa County, Arizona",Male,1575.0,Chris Denton,Southwest,2015-03-26,Arizona,Individual,85282,,,,,0,,
1577,Melody John,127 Caxton Drive,Avondale,Arizona,85323,"Maricopa County, Arizona",Southwest,2018-03-24 00:00:00,Individual,Female,35,18-35,Divorced,1,18-35,Divorced,127 Caxton Drive,35.0,Avondale,"Maricopa County, Arizona",Female,1577.0,Melody John,Southwest,2018-03-24,Arizona,Individual,85323,3.0,16.0,1.0,at_risk,1,,
1579,Barney Dale,98 Bocking Route,St. Paul,Minnesota,55109,"Ramsey County, Minnesota",Midwest,2018-11-25 00:00:00,Individual,Male,51,36-55,Divorced,0,36-55,Divorced,98 Bocking Route,51.0,St. Paul,"Ramsey County, Minnesota",Male,1579.0,Barney Dale,Midwest,2018-11-25,Minnesota,Individual,55109,,,,,0,,
1581,Eduardo Clarke,474 Virginia Avenue,Huntsville,Alabama,35813,"Limestone County, Alabama",South,2023-01-29 00:00:00,Individual,Male,31,18-35,Married,0,18-35,Married,474 Virginia Avenue,31.0,Huntsville,"Limestone County, Alabama",Male,1581.0,Eduardo Clarke,South,2023-01-29,Alabama,Individual,35813,,,,,0,,
1582,Molly Jeffery,562 Garfield Drive,Lynchburg,Virginia,24501,"Lynchburg (city) County, Virginia",East,2011-05-09 00:00:00,Individual,Female,27,18-35,Married,0,18-35,Married,562 Garfield Drive,27.0,Lynchburg,"Lynchburg (city) County, Virginia",Female,1582.0,Molly Jeffery,East,2011-05-09,Virginia,Individual,24501,,,,,0,,
